pincode,post_office,district,state
515631,Bo,Anantapur,Andhra Pradesh
515581,Bo,Anantapur,Andhra Pradesh
515571,Bo,Anantapur,Andhra Pradesh
515311,Bo,Anantapur,Andhra Pradesh
515281,Bo,Anantapur,Andhra Pradesh
515241,Bo,Anantapur,Andhra Pradesh
534176,Bo,West Godavari,Andhra Pradesh
813105,Bo,Banka,Bihar
813203,Bo,Bhagalpur,Bihar
853202,Bo,Bhagalpur,Bihar
813222,Bo,Bhagalpur,Bihar
812005,Bo,Bhagalpur,Bihar
853203,Bo,Bhagalpur,Bihar
812006,Bo,Bhagalpur,Bihar
853204,Bo,Madhepura,Bihar
813209,Bo,Bhagalpur,Bihar
530052,Bo,Visakhapatanam,Andhra Pradesh
515871,Bo,Anantapur,Andhra Pradesh
515842,Bo,Anantapur,Andhra Pradesh
515803,Bo,Anantapur,Andhra Pradesh
515775,Bo,Anantapur,Andhra Pradesh
515405,Bo,Anantapur,Andhra Pradesh
515865,Bo,Anantapur,Andhra Pradesh
515455,Bo,Anantapur,Andhra Pradesh
515611,Bo,Anantapur,Andhra Pradesh
515867,Bo,Anantapur,Andhra Pradesh
515812,Bo,Anantapur,Andhra Pradesh
515832,Bo,Anantapur,Andhra Pradesh
515870,Bo,Anantapur,Andhra Pradesh
531173,Bo,Visakhapatanam,Andhra Pradesh
531219,Bo,Visakhapatanam,Andhra Pradesh
853205,Bo,Bhagalpur,Bihar
813210,Bo,Bhagalpur,Bihar
813108,Bo,Bhagalpur,Bihar
813212,Bo,Banka,Bihar
515101,Bo,Anantapur,Andhra Pradesh
503186,Bo,Nizamabad,Telangana
503180,Bo,Nizamabad,Telangana
503187,Bo,Kamareddy,Telangana
503101,Bo,Kamareddy,Telangana
503125,Bo,Kamareddy,Telangana
503112,Bo,Kamareddy,Telangana
344704,Bo,Barmer,Rajasthan
344032,Bo,Barmer,Rajasthan
342002,Po,Jodhpur,Rajasthan
344706,Bo,Barmer,Rajasthan
503124,Bo,Kamareddy,Telangana
503309,Bo,Kamareddy,Telangana
503108,Bo,Kamareddy,Telangana
503302,Bo,Kamareddy,Telangana
503201,Bo,Nizamabad,Telangana
