year,season,state,commodity,procurement_quantity,unit,source
2020-21,KMS,Andhra Pradesh,Paddy,47.0,LMT,FCI Annual Report (embedded reference)
2020-21,KMS,Chhattisgarh,Paddy,57.0,LMT,FCI Annual Report (embedded reference)
2020-21,RMS,Haryana,Wheat,74.0,LMT,FCI Annual Report (embedded reference)
2020-21,KMS,Haryana,Paddy,36.0,LMT,FCI Annual Report (embedded reference)
2020-21,RMS,Madhya Pradesh,Wheat,13.0,LMT,FCI Annual Report (embedded reference)
2020-21,KMS,Odisha,Paddy,43.0,LMT,FCI Annual Report (embedded reference)
2020-21,RMS,Punjab,Wheat,132.0,LMT,FCI Annual Report (embedded reference)
2020-21,KMS,Punjab,Paddy,182.0,LMT,FCI Annual Report (embedded reference)
2020-21,RMS,Rajasthan,Wheat,1.5,LMT,FCI Annual Report (embedded reference)
2020-21,KMS,Telangana,Paddy,59.0,LMT,FCI Annual Report (embedded reference)
2020-21,RMS,Uttar Pradesh,Wheat,5.5,LMT,FCI Annual Report (embedded reference)
2020-21,KMS,Uttar Pradesh,Paddy,52.0,LMT,FCI Annual Report (embedded reference)
2021-22,KMS,Chhattisgarh,Paddy,57.0,LMT,FCI Annual Report (embedded reference)
2021-22,RMS,Haryana,Wheat,81.0,LMT,FCI Annual Report (embedded reference)
2021-22,RMS,Madhya Pradesh,Wheat,40.0,LMT,FCI Annual Report (embedded reference)
2021-22,RMS,Punjab,Wheat,132.0,LMT,FCI Annual Report (embedded reference)
2021-22,KMS,Punjab,Paddy,182.0,LMT,FCI Annual Report (embedded reference)
2021-22,KMS,Telangana,Paddy,73.0,LMT,FCI Annual Report (embedded reference)
2021-22,RMS,Uttar Pradesh,Wheat,6.0,LMT,FCI Annual Report (embedded reference)
2021-22,KMS,Uttar Pradesh,Paddy,67.0,LMT,FCI Annual Report (embedded reference)
2022-23,RMS,Haryana,Wheat,48.0,LMT,FCI Annual Report (embedded reference)
2022-23,RMS,Madhya Pradesh,Wheat,71.2,LMT,FCI Annual Report (embedded reference)
2022-23,KMS,Odisha,Paddy,57.0,LMT,FCI Annual Report (embedded reference)
2022-23,RMS,Punjab,Wheat,96.4,LMT,FCI Annual Report (embedded reference)
2022-23,KMS,Punjab,Paddy,183.0,LMT,FCI Annual Report (embedded reference)
2022-23,KMS,Telangana,Paddy,72.0,LMT,FCI Annual Report (embedded reference)
2022-23,RMS,Uttar Pradesh,Wheat,3.0,LMT,FCI Annual Report (embedded reference)
2022-23,KMS,Uttar Pradesh,Paddy,70.0,LMT,FCI Annual Report (embedded reference)
2023-24,KMS,Andhra Pradesh,Paddy,44.0,LMT,FCI Annual Report (embedded reference)
2023-24,RMS,Bihar,Wheat,0.5,LMT,FCI Annual Report (embedded reference)
2023-24,KMS,Chhattisgarh,Paddy,64.0,LMT,FCI Annual Report (embedded reference)
2023-24,RMS,Gujarat,Wheat,0.3,LMT,FCI Annual Report (embedded reference)
2023-24,RMS,Haryana,Wheat,71.6,LMT,FCI Annual Report (embedded reference)
2023-24,KMS,Haryana,Paddy,60.0,LMT,FCI Annual Report (embedded reference)
2023-24,KMS,Kerala,Paddy,3.0,LMT,FCI Annual Report (embedded reference)
2023-24,RMS,Madhya Pradesh,Wheat,47.0,LMT,FCI Annual Report (embedded reference)
2023-24,KMS,Odisha,Paddy,50.0,LMT,FCI Annual Report (embedded reference)
2023-24,RMS,Punjab,Wheat,124.0,LMT,FCI Annual Report (embedded reference)
2023-24,KMS,Punjab,Paddy,183.0,LMT,FCI Annual Report (embedded reference)
2023-24,RMS,Rajasthan,Wheat,2.2,LMT,FCI Annual Report (embedded reference)
2023-24,KMS,Tamil Nadu,Paddy,21.0,LMT,FCI Annual Report (embedded reference)
2023-24,KMS,Telangana,Paddy,53.0,LMT,FCI Annual Report (embedded reference)
2023-24,RMS,Uttar Pradesh,Wheat,4.3,LMT,FCI Annual Report (embedded reference)
2023-24,KMS,Uttar Pradesh,Paddy,72.0,LMT,FCI Annual Report (embedded reference)
