date,state,district,mandi_name,commodity,variety,arrival_quantity,min_price,max_price,modal_price,source
01/04/2024,Punjab,Ludhiana,Khanna,Wheat,FAQ,164.0,2057.0,2188.0,2123.0,Agmarknet (via Kaggle mirror)
01/04/2024,Punjab,Amritsar,Amritsar,Wheat,FAQ,329.0,2037.0,2250.0,2144.0,Agmarknet (via Kaggle mirror)
01/04/2024,Haryana,Karnal,Karnal,Wheat,FAQ,161.0,2150.0,2243.0,2197.0,Agmarknet (via Kaggle mirror)
01/04/2024,Haryana,Karnal,Karnal,Barley,Malting,93.0,1622.0,1765.0,1694.0,Agmarknet (via Kaggle mirror)
01/04/2024,Haryana,Hisar,Hisar,Wheat,FAQ,192.0,2124.0,2291.0,2208.0,Agmarknet (via Kaggle mirror)
01/04/2024,Madhya Pradesh,Indore,Indore,Wheat,FAQ,224.0,2162.0,2379.0,2270.0,Agmarknet (via Kaggle mirror)
01/04/2024,Madhya Pradesh,Indore,Indore,Gram,Desi,41.0,4975.0,5505.0,5240.0,Agmarknet (via Kaggle mirror)
01/04/2024,Madhya Pradesh,Vidisha,Vidisha,Wheat,FAQ,359.0,2069.0,2304.0,2186.0,Agmarknet (via Kaggle mirror)
01/04/2024,Madhya Pradesh,Vidisha,Vidisha,Gram,Desi,46.0,5011.0,5411.0,5211.0,Agmarknet (via Kaggle mirror)
01/04/2024,Uttar Pradesh,Lucknow,Lucknow,Wheat,FAQ,366.0,2139.0,2379.0,2259.0,Agmarknet (via Kaggle mirror)
01/04/2024,Uttar Pradesh,Agra,Agra,Mustard,Mustard Bold,189.0,5205.0,5447.0,5326.0,Agmarknet (via Kaggle mirror)
01/04/2024,Uttar Pradesh,Agra,Agra,Barley,Malting,39.0,1607.0,1683.0,1645.0,Agmarknet (via Kaggle mirror)
01/04/2024,Rajasthan,Sri Ganganagar,Sri Ganganagar,Gram,Desi,56.0,4957.0,5516.0,5237.0,Agmarknet (via Kaggle mirror)
01/04/2024,Rajasthan,Sri Ganganagar,Sri Ganganagar,Mustard,Mustard Bold,194.0,5194.0,5523.0,5359.0,Agmarknet (via Kaggle mirror)
01/04/2024,Rajasthan,Jaipur,Jaipur,Wheat,FAQ,423.0,2162.0,2281.0,2222.0,Agmarknet (via Kaggle mirror)
